Data,Candidato,Rede,Seguidores,Posts,CrescimentoDiario
2026-08-05,Hertz Dias,Facebook,2273,0,-1
2026-08-06,Hertz Dias,Facebook,2273,0,0
2026-08-07,Hertz Dias,Facebook,2274,0,1
2026-07-30,Hertz Dias,Instagram,25334,0,0
2026-07-31,Hertz Dias,Instagram,25648,0,314
2026-08-03,Hertz Dias,Instagram,26620,2,972
2026-08-04,Hertz Dias,Instagram,27338,4,718
2026-08-05,Hertz Dias,Instagram,28069,4,731
2026-08-06,Hertz Dias,Instagram,28719,2,650
2026-08-07,Hertz Dias,Instagram,29685,0,966
2026-07-30,Hertz Dias,TikTok,65,0,0
2026-07-31,Hertz Dias,TikTok,65,0,0
2026-08-03,Hertz Dias,TikTok,71,0,6
2026-08-04,Hertz Dias,TikTok,73,0,2
2026-08-05,Hertz Dias,TikTok,73,0,0
2026-08-06,Hertz Dias,TikTok,73,0,0
2026-08-07,Hertz Dias,TikTok,74,0,1
2026-07-30,Hertz Dias,X,354,0,0
2026-07-31,Hertz Dias,X,354,0,0
2026-08-03,Hertz Dias,X,355,0,1
2026-08-04,Hertz Dias,X,355,0,0
2026-08-05,Hertz Dias,X,355,0,0
2026-08-06,Hertz Dias,X,355,0,0
2026-08-07,Hertz Dias,X,355,0,0
2026-07-30,Lula,Facebook,6550074,0,0
2026-07-31,Lula,Facebook,6551688,0,1614
2026-08-03,Lula,Facebook,6557654,0,5966
2026-08-04,Lula,Facebook,6560930,0,3276
2026-08-05,Lula,Facebook,6562404,2,1474
2026-08-06,Lula,Facebook,6563021,7,617
2026-08-07,Lula,Facebook,6563340,2,319
2026-07-30,Lula,Instagram,14801251,0,0
2026-07-31,Lula,Instagram,14805155,6,3904
2026-08-03,Lula,Instagram,14828006,0,22851
2026-08-04,Lula,Instagram,14833377,0,5371
2026-08-05,Lula,Instagram,14837298,2,3921
2026-08-06,Lula,Instagram,14844153,5,6855
2026-08-07,Lula,Instagram,14849585,2,5432
2026-07-30,Lula,TikTok,5709106,0,0
2026-07-31,Lula,TikTok,5710350,0,1244
2026-08-03,Lula,TikTok,5720352,0,10002
2026-08-04,Lula,TikTok,5723075,0,2723
2026-08-05,Lula,TikTok,5725048,0,1973
2026-08-06,Lula,TikTok,5727353,0,2305
2026-08-07,Lula,TikTok,5730189,0,2836
2026-07-30,Lula,X,10547462,0,0
2026-07-31,Lula,X,10551218,0,3756
2026-08-03,Lula,X,10562142,0,10924
2026-08-04,Lula,X,10566049,0,3907
2026-08-05,Lula,X,10569648,7,3599
2026-08-06,Lula,X,10570886,8,1238
2026-08-07,Lula,X,10574649,2,3763
2026-07-30,Renan Santos,Facebook,124711,0,0
2026-07-31,Renan Santos,Facebook,125068,0,357
2026-08-03,Renan Santos,Facebook,129748,0,4680
2026-08-04,Renan Santos,Facebook,130963,0,1215
2026-08-05,Renan Santos,Facebook,131675,0,712
2026-08-06,Renan Santos,Facebook,132250,6,575
2026-08-07,Renan Santos,Facebook,132921,1,671
2026-07-30,Renan Santos,Instagram,2125029,0,0
2026-07-31,Renan Santos,Instagram,2128463,0,3434
2026-08-03,Renan Santos,Instagram,2175715,0,47252
2026-08-04,Renan Santos,Instagram,2195762,0,20047
2026-08-05,Renan Santos,Instagram,2214834,3,19072
2026-08-06,Renan Santos,Instagram,2231042,6,16208
2026-08-07,Renan Santos,Instagram,2244570,1,13528
2026-07-30,Renan Santos,TikTok,847817,0,0
2026-07-31,Renan Santos,TikTok,854101,0,6284
2026-08-03,Renan Santos,TikTok,885785,0,31684
2026-08-04,Renan Santos,TikTok,905667,0,19882
2026-08-05,Renan Santos,TikTok,920525,0,14858
2026-08-06,Renan Santos,TikTok,931955,0,11430
2026-08-07,Renan Santos,TikTok,944641,0,12686
2026-07-30,Renan Santos,X,150001,0,0
2026-07-31,Renan Santos,X,150100,0,99
2026-08-03,Renan Santos,X,151516,0,1416
2026-08-04,Renan Santos,X,151882,0,366
2026-08-05,Renan Santos,X,152540,14,658
2026-08-06,Renan Santos,X,153100,28,560
2026-08-07,Renan Santos,X,153840,5,740
2026-07-31,Romeu Zema,Facebook,1195591,0,0
2026-08-03,Romeu Zema,Facebook,1213936,0,18345
2026-08-04,Romeu Zema,Facebook,1214153,0,217
2026-08-05,Romeu Zema,Facebook,1214298,3,145
2026-08-06,Romeu Zema,Facebook,1214449,3,151
2026-08-07,Romeu Zema,Facebook,1214769,11,320
2026-07-30,Romeu Zema,Instagram,3553288,0,0
2026-07-31,Romeu Zema,Instagram,3553871,0,583
2026-08-03,Romeu Zema,Instagram,3560242,0,6371
2026-08-04,Romeu Zema,Instagram,3561307,0,1065
2026-08-05,Romeu Zema,Instagram,3563038,3,1731
2026-08-06,Romeu Zema,Instagram,3563940,3,902
2026-08-07,Romeu Zema,Instagram,3565025,1,1085
